#ID	T_NUM	LAT	LON
213	1	37.639475	-0.69266
214	1	37.639475	-0.69266
215	1	37.639475	-0.69266
216	1	37.639475	-0.69266
217	1	37.639475	-0.69266
218	1	37.639475	-0.69266
219	1	37.639475	-0.69266
220	1	37.639475	-0.69266
221	1	37.639475	-0.69266
222	1	37.639475	-0.692657
223	1	37.639475	-0.692657
224	1	37.639475	-0.692657
225	1	37.639475	-0.692657
226	1	37.639475	-0.692657
227	1	37.639475	-0.692655
228	1	37.639475	-0.692655
229	1	37.639475	-0.692655
230	1	37.639475	-0.692655
231	1	37.639475	-0.692655
232	1	37.639477	-0.692652
233	1	37.639477	-0.692652
234	1	37.639477	-0.692652
235	1	37.639477	-0.692652
236	1	37.639477	-0.692652
237	1	37.639477	-0.69265
238	1	37.639477	-0.69265
239	1	37.639477	-0.69265
240	1	37.639477	-0.69265
241	1	37.639477	-0.69265
242	1	37.639478	-0.692647
243	1	37.639478	-0.692647
244	1	37.639478	-0.692647
245	1	37.639478	-0.692647
246	1	37.639478	-0.692647
247	1	37.639478	-0.692647
248	1	37.639478	-0.692647
249	1	37.639478	-0.692647
250	1	37.639478	-0.692647
251	1	37.639478	-0.692647
252	1	37.639477	-0.692645
253	1	37.639477	-0.692645
254	1	37.639477	-0.692645
255	1	37.639477	-0.692645
256	1	37.639477	-0.692645
257	1	37.639478	-0.692643
258	1	37.639478	-0.692643
259	1	37.639478	-0.692643
260	1	37.639478	-0.692643
261	1	37.639478	-0.692643
262	1	37.639478	-0.69264
263	1	37.639478	-0.69264
264	1	37.639478	-0.69264
265	1	37.639478	-0.69264
266	1	37.639478	-0.69264
267	1	37.639478	-0.692638
268	1	37.639478	-0.692638
269	1	37.639478	-0.692638
270	1	37.639478	-0.692638
271	1	37.639478	-0.692638
272	1	37.639478	-0.692638
273	1	37.639478	-0.692638
274	1	37.639478	-0.692638
275	1	37.639478	-0.692638
276	1	37.639478	-0.692638
277	1	37.639478	-0.692637
278	1	37.639478	-0.692637
279	1	37.639478	-0.692637
280	1	37.639478	-0.692637
281	1	37.639478	-0.692637
282	1	37.639478	-0.692637
283	1	37.639477	-0.692635
284	1	37.639477	-0.692635
285	1	37.639477	-0.692635
286	1	37.639477	-0.692635
287	1	37.639477	-0.692635
288	1	37.639477	-0.692635
289	1	37.639477	-0.692635
290	1	37.639477	-0.692635
291	1	37.639477	-0.692635
292	1	37.639477	-0.692635
293	1	37.639478	-0.692632
294	1	37.639478	-0.692632
295	1	37.639478	-0.692632
296	1	37.639478	-0.692632
297	1	37.639478	-0.692632
298	1	37.639477	-0.692628
299	1	37.639477	-0.692628
300	1	37.639477	-0.692628
301	1	37.639477	-0.692628
302	1	37.639477	-0.692628
303	1	37.639478	-0.692627
304	1	37.639478	-0.692627
305	1	37.639478	-0.692627
306	1	37.639478	-0.692627
307	1	37.639478	-0.692627
308	1	37.639477	-0.692627
309	1	37.639477	-0.692627
310	1	37.639477	-0.692627
311	1	37.639477	-0.692627
312	1	37.639477	-0.692627
313	1	37.639477	-0.692625
314	1	37.639477	-0.692625
315	1	37.639477	-0.692625
316	1	37.639477	-0.692625
317	1	37.639477	-0.692625
318	1	37.639477	-0.692623
319	1	37.639477	-0.692623
320	1	37.639477	-0.692623
321	1	37.639477	-0.692623
322	1	37.639477	-0.692623
323	1	37.639477	-0.692622
324	1	37.639477	-0.692622
325	1	37.639477	-0.692622
326	1	37.639477	-0.692622
327	1	37.639477	-0.692622
328	1	37.639477	-0.69262
329	1	37.639477	-0.69262
330	1	37.639477	-0.69262
331	1	37.639477	-0.69262
332	1	37.639477	-0.69262
333	1	37.639475	-0.692618
334	1	37.639475	-0.692618
335	1	37.639475	-0.692618
336	1	37.639475	-0.692618
337	1	37.639475	-0.692618
338	1	37.639475	-0.692617
339	1	37.639475	-0.692617
340	1	37.639475	-0.692617
341	1	37.639475	-0.692617
342	1	37.639475	-0.692617
343	1	37.639475	-0.692615
344	1	37.639475	-0.692615
345	1	37.639475	-0.692615
346	1	37.639475	-0.692615
347	1	37.639475	-0.692615
348	1	37.639475	-0.692613
349	1	37.639475	-0.692613
350	1	37.639475	-0.692613
351	1	37.639475	-0.692613
352	1	37.639475	-0.692613
353	1	37.639475	-0.69261
354	1	37.639475	-0.69261
355	1	37.639475	-0.69261
356	1	37.639475	-0.69261
357	1	37.639475	-0.69261
358	1	37.639475	-0.69261
359	1	37.639475	-0.69261
360	1	37.639475	-0.69261
361	1	37.639475	-0.69261
362	1	37.639475	-0.69261
363	1	37.639475	-0.692608
364	1	37.639475	-0.692608
365	1	37.639475	-0.692608
366	1	37.639475	-0.692608
367	1	37.639475	-0.692608
368	1	37.639473	-0.692605
369	1	37.639473	-0.692605
370	1	37.639473	-0.692605
371	1	37.639473	-0.692605
372	1	37.639473	-0.692605
373	1	37.639475	-0.692602
374	1	37.639475	-0.692602
375	1	37.639475	-0.692602
376	1	37.639475	-0.692602
377	1	37.639475	-0.692602
378	1	37.639475	-0.6926
379	1	37.639475	-0.6926
380	1	37.639475	-0.6926
381	1	37.639475	-0.6926
382	1	37.639475	-0.6926
383	1	37.639473	-0.692602
384	1	37.639473	-0.692602
385	1	37.639473	-0.692602
386	1	37.639473	-0.692602
387	1	37.639473	-0.692602
388	1	37.639473	-0.6926
389	1	37.639473	-0.6926
390	1	37.639473	-0.6926
391	1	37.639473	-0.6926
392	1	37.639473	-0.6926
393	1	37.639473	-0.692598
394	1	37.639473	-0.692598
395	1	37.639473	-0.692598
396	1	37.639473	-0.692598
397	1	37.639473	-0.692598
398	1	37.639473	-0.692595
399	1	37.639473	-0.692595
400	1	37.639473	-0.692595
401	1	37.639473	-0.692595
402	1	37.639473	-0.692595
403	1	37.639473	-0.692593
404	1	37.639473	-0.692593
405	1	37.639473	-0.692593
406	1	37.639473	-0.692593
407	1	37.639473	-0.692593
408	1	37.639473	-0.692592
409	1	37.639473	-0.692592
410	1	37.639473	-0.692592
411	1	37.639473	-0.692592
412	1	37.639473	-0.692592
413	1	37.639473	-0.69259
414	1	37.639473	-0.69259
415	1	37.639473	-0.69259
416	1	37.639473	-0.69259
417	1	37.639473	-0.69259
418	1	37.639475	-0.692587
419	1	37.639475	-0.692587
420	1	37.639475	-0.692587
421	1	37.639475	-0.692587
422	1	37.639475	-0.692587
423	1	37.639475	-0.692583
424	1	37.639475	-0.692583
425	1	37.639475	-0.692583
426	1	37.639475	-0.692583
427	1	37.639475	-0.692583
428	1	37.639475	-0.692582
429	1	37.639475	-0.692582
430	1	37.639475	-0.692582
431	1	37.639475	-0.692582
432	1	37.639475	-0.692582
433	1	37.639475	-0.69258
434	1	37.639475	-0.69258
435	1	37.639475	-0.69258
436	1	37.639475	-0.69258
437	1	37.639475	-0.69258
438	1	37.639473	-0.692582
439	1	37.639473	-0.692582
440	1	37.639473	-0.692582
441	1	37.639473	-0.692582
442	1	37.639473	-0.692582
443	1	37.639475	-0.692575
444	1	37.639475	-0.692575
445	1	37.639475	-0.692575
446	1	37.639475	-0.692575
447	1	37.639475	-0.692575
448	1	37.639473	-0.692575
449	1	37.639473	-0.692575
450	1	37.639473	-0.692575
451	1	37.639473	-0.692575
452	1	37.639473	-0.692575
